learning rate,GIN_num_layers,GIN_hidden_dim,train_patience,numL,numK
0.01,2,8,10,10,1
run,epoch,train_loss,train_acc,valid_loss,valid_acc,test_loss,test_acc,epoch_duration,run_duration
0,0,113055.66269051954,0.5225,111597.2293115396,0.54,94576.34518695771,0.535,9.419177293777466,_
0,1,116705.57824433874,0.5175,55550.63760969155,0.635,44495.423528445885,0.715,8.978187561035156,_
0,2,110469.99271007329,0.5325,49102.269352568685,0.725,34361.87689976543,0.775,8.9578378200531,_
0,3,109832.36283948738,0.5325,29736.96058558598,0.77,28625.829028113185,0.81,8.905244827270508,_
0,4,115100.86716993115,0.5175,87710.13445351049,0.56,80696.57553858534,0.585,8.96285891532898,_
0,5,120064.1902320657,0.5075,119875.83243934624,0.515,112954.81160657368,0.55,8.891118049621582,_
0,6,138015.66656263266,0.5,230259.60736841895,0.505,226146.96823499203,0.52,9.090412855148315,_
0,7,160229.77512587048,0.4875,139638.77173611335,0.51,134968.25798109398,0.52,8.891807079315186,_
