learning rate,GIN_num_layers,GIN_hidden_dim,train_patience,numL,numK
0.008,2,8,10,10,1
run,epoch,train_loss,train_acc,valid_loss,valid_acc,test_loss,test_acc,epoch_duration,run_duration
0,0,63651.63580932617,0.5375,55003.49833984375,0.53,52657.1791015625,0.53,6.967832088470459,_
0,1,46599.50726013184,0.5775,40017.61166992188,0.59,32308.66862792969,0.605,6.40624213218689,_
0,2,48319.77656860351,0.565,37510.09677734375,0.58,41454.68305664063,0.585,6.354371070861816,_
0,3,49032.3458984375,0.5525,26534.16455383301,0.64,22474.793702347575,0.675,6.368719100952148,_
0,4,59533.15825805664,0.555,84103.603125,0.515,79769.7927734375,0.54,6.4412617683410645,_
0,5,50613.21750183105,0.63,51533.43103027344,0.585,52140.14799804687,0.605,6.292470693588257,_
0,6,53731.8139503479,0.6,85575.597265625,0.505,77788.087109375,0.53,6.572063446044922,_
0,7,59727.779402160646,0.58,93790.684765625,0.505,89788.58701171874,0.53,6.422384738922119,_
0,8,63913.78665161133,0.555,147952.0333984375,0.505,143784.3744140625,0.52,6.240674018859863,_
0,9,65798.13456115723,0.555,144667.06796875,0.505,139251.90234375,0.52,6.3801281452178955,_
0,10,59258.56887025833,0.5775,93365.147265625,0.51,91223.93251953126,0.535,6.265179395675659,_
0,11,61339.65759353638,0.565,132295.535546875,0.505,126548.28408203126,0.52,6.217609405517578,_
0,12,71822.27232208251,0.5425,127176.45078125,0.505,118767.1107421875,0.52,6.3748040199279785,_
0,13,68259.6946395874,0.5475,148553.2212890625,0.505,144538.8990234375,0.52,6.345978021621704,_
0,_,68259.6946395874,0.5475,148553.2212890625,0.505,144538.8990234375,0.52,_,135.14622163772583
1,0,39901.20792236328,0.5875,39925.14271240235,0.655,41387.71298828125,0.63,6.390452861785889,_
1,1,41816.559370422365,0.585,87527.709765625,0.53,80451.88125,0.515,6.6641998291015625,_
1,2,41610.53073120117,0.6075,109715.4134765625,0.525,110653.191796875,0.505,6.417184352874756,_
1,3,45068.31026611328,0.585,38820.52053222656,0.62,37901.81921386719,0.64,6.442878246307373,_
1,4,47851.51004333496,0.5825,73401.7767578125,0.545,73458.6541015625,0.535,6.422540664672852,_
1,5,59613.9033203125,0.56,46501.033447265625,0.635,38040.076953125,0.64,6.385316371917725,_
1,6,57912.80205078125,0.56,45102.94572753906,0.625,38466.71748046875,0.645,6.803765773773193,_
1,7,57219.21865234375,0.575,44914.89267578125,0.635,41134.87451171875,0.635,6.290487051010132,_
1,8,61829.782397460935,0.56,59635.2220703125,0.58,52433.8029296875,0.55,6.3388352394104,_
1,9,61667.83217773437,0.56,53153.252197265625,0.585,52698.97543945313,0.585,6.423569917678833,_
1,10,63644.921875,0.5525,41217.7877319336,0.635,35232.10397949219,0.67,6.419142723083496,_
1,11,66196.2105834961,0.545,27694.17401123047,0.715,20493.646154785158,0.775,6.921312570571899,_
1,12,64999.8115234375,0.54,59433.683764648435,0.6,52362.08359375,0.595,6.4256415367126465,_
1,13,77297.34672851562,0.505,65772.28723144531,0.59,59134.68452148438,0.56,6.395167112350464,_
1,14,84413.18701171875,0.495,102135.312890625,0.525,95293.033203125,0.51,6.455709218978882,_
1,15,88093.83969726562,0.4925,74758.42622070313,0.55,71522.23330078126,0.53,6.443530559539795,_
1,16,85692.97221679687,0.495,63864.87705078125,0.57,67800.34833984375,0.535,6.506418943405151,_
1,17,81489.72797851563,0.495,112949.180859375,0.525,113017.7787109375,0.505,6.4285078048706055,_
1,18,87198.94814453126,0.49,81794.1853515625,0.53,82815.29228515625,0.525,6.330801486968994,_
1,19,94739.59311523437,0.485,116427.431640625,0.525,122282.56640625,0.505,6.336083650588989,_
1,20,92187.8873046875,0.4875,104037.305859375,0.525,110944.886328125,0.51,6.329312324523926,_
1,21,99698.86826171874,0.485,109496.8736328125,0.525,115662.6216796875,0.51,6.330640077590942,_
1,_,99698.86826171874,0.485,109496.8736328125,0.525,115662.6216796875,0.51,_,213.4782853126526
2,0,53040.719482421875,0.5675,34037.905822753906,0.64,42208.09485321045,0.61,6.337935924530029,_
2,1,45906.24194869995,0.6075,86380.87626953125,0.525,97007.6806640625,0.47,6.33885383605957,_
2,2,46042.214219665526,0.595,72703.76787109375,0.535,82455.2603515625,0.475,6.37506890296936,_
2,3,47362.18335571289,0.595,128265.16875,0.525,143284.50859375,0.47,7.024865388870239,_
2,4,59784.070291137694,0.5575,19453.437284380943,0.8,21215.819159708917,0.775,6.29114556312561,_
2,5,66848.50740280151,0.5575,108744.5,0.525,122783.80771484374,0.47,6.335246801376343,_
2,6,65093.79560546875,0.555,133965.8837890625,0.525,151613.9123046875,0.47,6.32586407661438,_
2,7,85673.44946289062,0.515,138367.5140625,0.525,154361.1623046875,0.47,6.322134256362915,_
2,8,92946.12514648438,0.505,89565.8677734375,0.53,107077.62475585938,0.475,6.310675859451294,_
2,9,92787.8681640625,0.51,130488.4666015625,0.525,147448.834765625,0.47,6.394185304641724,_
2,10,97204.99296875,0.505,142541.727734375,0.525,158781.315234375,0.47,6.397827386856079,_
2,11,104916.45966796875,0.5025,122742.7650390625,0.525,137904.47197265626,0.47,6.467553615570068,_
2,12,104450.4240234375,0.5025,67903.53645019532,0.53,84076.10341796876,0.49,7.214500904083252,_
2,13,92929.998046875,0.5025,80302.94189453125,0.525,93477.37958984375,0.475,6.47015643119812,_
2,14,92339.42890625,0.5025,94635.68193359375,0.525,107117.517578125,0.47,6.5075647830963135,_
2,_,92339.42890625,0.5025,94635.68193359375,0.525,107117.517578125,0.47,_,145.50186276435852
3,0,46252.34730834961,0.62,62436.190625,0.52,60946.42060546875,0.535,6.5178680419921875,_
3,1,34034.73902587891,0.63,63226.05126953125,0.52,64895.62646484375,0.525,6.397556781768799,_
3,2,41616.562719726564,0.5925,46809.4683959961,0.59,46118.48715820313,0.61,6.398008823394775,_
3,3,44676.57421875,0.6,75579.189453125,0.53,77304.7267578125,0.525,6.459940195083618,_
3,4,51692.35883789063,0.565,66816.29345703125,0.54,70080.8361328125,0.545,6.492466449737549,_
3,5,56204.771484375,0.5475,58465.85434570313,0.545,68303.89296875,0.545,6.493008375167847,_
3,6,61171.63686523437,0.5325,91369.1080078125,0.51,100401.9998046875,0.51,6.486227035522461,_
3,7,75733.22099609375,0.5175,111471.4111328125,0.51,114718.015625,0.51,6.473074913024902,_
3,8,78359.9779296875,0.5075,55822.492919921875,0.57,56698.14091796875,0.585,6.644246339797974,_
3,9,62703.89873046875,0.5625,70658.74609375,0.54,68312.44716796876,0.545,6.465647220611572,_
3,10,61289.62749023437,0.56,89214.4,0.515,86652.5201171875,0.51,6.458724021911621,_
3,11,87352.82421875,0.505,52976.914770507814,0.55,61941.6349609375,0.56,6.488579273223877,_
3,12,77697.6853515625,0.51,93457.47197265625,0.51,89552.2970703125,0.51,6.479139089584351,_
3,_,77697.6853515625,0.51,93457.47197265625,0.51,89552.2970703125,0.51,_,127.15481185913086
4,0,59184.47696533203,0.54,51172.967622373995,0.61,41072.83791503906,0.66,6.408907890319824,_
4,1,48636.13627929687,0.56,110084.663671875,0.45,106320.68515625,0.52,6.472118139266968,_
4,2,52943.212701416014,0.5325,111149.184375,0.45,100106.554296875,0.52,6.4894959926605225,_
4,3,49563.93353881836,0.5625,48326.802770996095,0.6,43008.3201171875,0.58,6.450498342514038,_
4,4,69984.9490234375,0.5375,59828.35234375,0.49,66340.7796875,0.52,6.396240949630737,_
4,5,61288.5349609375,0.56,60583.7189453125,0.52,56091.8072265625,0.575,6.458388328552246,_
