learning rate,GIN_num_layers,GIN_hidden_dim,train_patience,numL,numK
0.002,2,8,10,10,1
3,10,11,13,13
run,epoch,train_loss,train_acc,valid_loss,valid_acc,test_loss,test_acc,epoch_duration,run_duration
0,0,110224.37827148437,0.525,110614.764453125,0.465,104251.3025390625,0.51,6.904831409454346,_
0,1,79026.39188232421,0.565,78806.4177734375,0.535,80997.51962890624,0.555,6.428891658782959,_
0,2,70005.54608154297,0.5925,137868.11474609375,0.46,140329.55546875,0.505,6.324333190917969,_
0,3,66958.48708496094,0.61,59652.637451171875,0.585,68572.8938232422,0.61,6.294332027435303,_
0,4,65904.5303894043,0.615,66987.18798828125,0.57,73653.20307617188,0.585,6.468067407608032,_
0,5,66300.38012695312,0.6175,59675.998828125,0.59,69525.29086914062,0.625,6.365823745727539,_
0,6,67155.32268066406,0.6175,64014.72800292969,0.585,71425.0283203125,0.63,6.550909996032715,_
0,7,68637.03220214843,0.6175,74523.5361328125,0.575,72465.78193359375,0.59,6.39228892326355,_
0,8,70084.6276550293,0.6075,69481.14619140625,0.585,72805.26774902343,0.615,6.35267186164856,_
0,9,71127.04699707031,0.6,72915.682421875,0.58,73749.43161621093,0.62,6.359014511108398,_
0,10,72761.84178161621,0.5975,79426.8845703125,0.56,75950.92944335938,0.61,6.357492685317993,_
0,11,74313.17867431641,0.595,72818.1951171875,0.59,72404.85249023438,0.63,6.391085624694824,_
0,12,76180.35000915527,0.5925,81352.25522460937,0.575,80384.74248046875,0.59,6.363858699798584,_
0,13,78289.10525512695,0.59,84411.850390625,0.57,80184.50766601562,0.58,6.314079999923706,_
0,_,78289.10525512695,0.59,84411.850390625,0.57,80184.50766601562,0.58,_,134.8397355079651
1,0,104286.96826171875,0.5675,68676.5357421875,0.555,74869.42666015626,0.585,6.258728981018066,_
1,1,74408.03671875,0.655,56919.83999023437,0.585,63754.62924804688,0.6,6.723931550979614,_
1,2,66906.17827148437,0.66,78230.90224609376,0.5,85916.699609375,0.55,6.406888246536255,_
1,3,71064.91328125,0.6275,56276.14140625,0.55,66437.5166015625,0.585,6.379666090011597,_
1,4,65658.20551757813,0.635,66872.28056640625,0.535,80514.47490234375,0.58,6.42066502571106,_
1,5,63586.45654296875,0.6375,61882.991796875,0.53,74765.30888671875,0.57,6.397596597671509,_
1,6,64092.83979492188,0.6325,94728.705859375,0.505,102768.0236328125,0.53,6.795684576034546,_
1,7,66254.9521484375,0.62,87730.1244140625,0.515,99727.35830078126,0.56,6.40619158744812,_
1,8,64219.090625,0.6075,92383.59296875,0.495,100113.3248046875,0.53,6.361136436462402,_
1,9,69282.60673828125,0.595,64327.81064453125,0.55,73591.76455078126,0.585,6.324409246444702,_
1,10,69066.57060546875,0.5825,109515.2412109375,0.475,121751.4173828125,0.53,6.413766145706177,_
1,11,70595.800390625,0.575,89521.5865234375,0.495,98326.387890625,0.53,6.848227262496948,_
1,12,73467.86435546874,0.565,106402.90703125,0.485,90825.90673828125,0.525,6.303434371948242,_
1,13,75458.18276367188,0.5625,125055.034375,0.475,129395.41484375,0.525,6.7434587478637695,_
1,_,75458.18276367188,0.5625,125055.034375,0.475,129395.41484375,0.525,_,135.87050127983093
2,0,131309.9271484375,0.5025,112993.23330078126,0.5,92209.0548828125,0.555,6.806980609893799,_
2,1,84687.20131835938,0.5475,73085.2529296875,0.56,57876.1302734375,0.6,6.815217018127441,_
2,2,68743.2729309082,0.58,73497.95673828125,0.545,59795.4236328125,0.615,6.957202672958374,_
2,3,62980.84878540039,0.585,72599.15556640625,0.555,58759.938671875,0.61,6.7078187465667725,_
2,4,61329.40920410156,0.585,82862.4861328125,0.59,72034.86787109375,0.6,6.788933038711548,_
2,5,62305.31226806641,0.5775,94117.9771484375,0.545,88553.9318359375,0.585,6.752101898193359,_
2,6,64409.25036621094,0.575,102411.40458984375,0.57,89784.83544921875,0.6,6.754056453704834,_
2,7,66655.06279296875,0.57,100596.563671875,0.51,88512.36533203124,0.56,6.767212867736816,_
2,8,68120.41359863282,0.565,99839.1798828125,0.525,95382.29111328124,0.545,6.715285539627075,_
2,9,69658.93505859375,0.565,111689.2125,0.525,102227.823046875,0.575,6.713739633560181,_
2,10,70323.56975097656,0.555,95859.74182128906,0.54,88469.737109375,0.6,6.775492191314697,_
2,11,71197.23850097656,0.56,75057.25862102509,0.555,74212.3646484375,0.59,7.504730939865112,_
2,12,72197.85793457032,0.555,91488.32738647462,0.52,87049.984375,0.57,6.864617586135864,_
2,13,74073.50983886719,0.5525,97357.72836914062,0.55,85237.0544921875,0.59,6.719841718673706,_
2,_,74073.50983886719,0.5525,97357.72836914062,0.55,85237.0544921875,0.59,_,145.0574598312378
3,0,109792.10078125,0.5375,69503.34599609375,0.575,70736.90185546875,0.585,6.771044492721558,_
3,1,76211.62080688476,0.5775,86712.75341796875,0.56,86992.20078125,0.54,6.859963417053223,_
3,2,67278.2685546875,0.62,92694.384375,0.55,93560.340234375,0.52,6.649014234542847,_
3,3,66350.32818603516,0.5975,90711.83125,0.54,92573.2224609375,0.52,6.73244571685791,_
3,4,65734.95336914062,0.575,87203.48325195312,0.535,87796.57978515625,0.52,6.895671129226685,_
3,5,66881.81459960938,0.5725,87582.74130859374,0.53,87563.37568359375,0.52,6.74897313117981,_
3,6,68551.36865234375,0.565,90259.43193359375,0.53,88784.1658203125,0.52,7.651127815246582,_
3,7,71763.0627685547,0.56,61879.34865722656,0.56,63075.61264648438,0.58,6.866777420043945,_
3,8,74134.10361328124,0.555,38411.77657852173,0.64,38450.03722114563,0.655,6.740999937057495,_
3,9,76528.09370117188,0.5575,27864.1226102829,0.715,36054.41601848602,0.7,6.770124673843384,_
3,10,78439.76398925782,0.5525,75300.61108398438,0.55,73607.783984375,0.54,6.838339567184448,_
3,11,80466.39611816406,0.5525,103484.93837890626,0.495,103200.6673828125,0.51,6.658961772918701,_
3,12,85474.68818359375,0.5375,82025.77800292968,0.565,87159.64599609375,0.54,6.8511083126068115,_
3,13,86895.2668701172,0.5425,75377.37922363282,0.565,72168.74711914062,0.54,6.855382919311523,_
3,14,84889.519140625,0.5425,128873.96416015625,0.505,126525.9126953125,0.505,6.960955381393433,_
3,15,83792.17795410156,0.5475,161320.0681640625,0.5,154697.309765625,0.495,6.819836139678955,_
3,16,86341.5466796875,0.535,174183.3994140625,0.5,172725.686328125,0.49,6.840651988983154,_
3,17,88610.56208496094,0.5375,84383.63247070313,0.545,76589.394921875,0.555,7.044717311859131,_
3,18,88296.821484375,0.54,151069.61806640626,0.5,147844.5177734375,0.5,6.831908702850342,_
3,19,92073.875,0.53,97895.45083007813,0.525,102823.20190429688,0.525,6.836043357849121,_
3,_,92073.875,0.53,97895.45083007813,0.525,102823.20190429688,0.525,_,207.64489912986755
4,0,123727.8240234375,0.5125,76555.6447265625,0.555,86078.9447265625,0.52,6.83264946937561,_
4,1,77113.6711669922,0.5775,58714.78212890625,0.585,67896.50380859376,0.58,6.877349138259888,_
4,2,65436.94565429688,0.5925,58223.73010253906,0.58,64829.82368164063,0.595,6.811572074890137,_
4,3,63487.033935546875,0.5975,62262.71597900391,0.58,67461.41611328124,0.565,6.84241247177124,_
4,4,62615.77485351563,0.585,64256.7474609375,0.58,67715.83662109375,0.565,6.844560623168945,_
4,5,63431.96491699219,0.58,73572.48081054687,0.575,75875.48623046876,0.55,6.7145538330078125,_
4,6,64478.73383789063,0.58,79943.02687988282,0.57,81360.99853515625,0.54,6.622852325439453,_
4,7,65441.04135742188,0.57,84804.57763671875,0.56,86705.8515625,0.54,6.685730457305908,_
4,8,66818.59853515626,0.565,87070.33920898437,0.56,90267.07314453126,0.525,6.820544958114624,_
4,9,68235.12404785157,0.56,96946.25263671875,0.53,99981.3001953125,0.52,6.898672103881836,_
4,10,69577.24040527343,0.5625,104078.97861328124,0.52,108382.828125,0.51,6.8840484619140625,_
