learning rate,GIN_num_layers,GIN_hidden_dim,train_patience,numL,numK
0.0006,2,8,10,10,1
6,9,7,8,10
run,epoch,train_loss,train_acc,valid_loss,valid_acc,test_loss,test_acc,epoch_duration,run_duration
0,0,176463.03828125,0.4825,159203.8861328125,0.515,160011.0853515625,0.52,7.438063859939575,_
0,1,169189.76083984374,0.4825,153037.9646484375,0.515,154119.5318359375,0.52,6.879894971847534,_
0,2,162183.8623046875,0.4825,147309.9017578125,0.515,148289.4775390625,0.52,6.855725526809692,_
0,3,155299.52255859374,0.4825,142168.0173828125,0.515,142755.358203125,0.525,6.861106872558594,_
0,4,148625.60751953124,0.4825,138092.4994140625,0.515,138458.39091796876,0.525,6.960195064544678,_
0,5,142439.9224609375,0.4825,137084.09609375,0.52,137511.37734375,0.525,6.970348358154297,_
0,6,136944.44833984374,0.4825,143445.43671875,0.515,143179.9908203125,0.525,6.889771223068237,_
0,7,132403.19267578126,0.4825,136519.191796875,0.52,135682.558984375,0.525,6.660344362258911,_
0,8,129137.69560546875,0.4875,117833.88515625,0.53,118798.74208984376,0.525,6.759919881820679,_
0,9,126946.3095703125,0.49,120605.5994140625,0.525,120935.473046875,0.525,6.7135398387908936,_
0,10,125283.07182617187,0.49,114171.3802734375,0.535,115596.55268554688,0.53,6.668078660964966,_
0,11,123848.43876953125,0.4925,117520.8482421875,0.53,117674.6107421875,0.53,6.712516784667969,_
0,12,122754.08569335938,0.4925,104692.587109375,0.535,108340.38647460938,0.53,6.677503347396851,_
0,13,121641.90009765625,0.4925,116037.7279296875,0.53,115922.04560546875,0.53,6.737314701080322,_
0,14,120827.058984375,0.4975,116520.5357421875,0.53,115934.7705078125,0.53,6.817912578582764,_
0,15,120284.71831054687,0.4975,118009.02080078125,0.525,116310.02275390625,0.53,7.210144758224487,_
0,16,119899.34584960938,0.4975,117335.9927734375,0.53,116240.11923828124,0.53,6.8326191902160645,_
0,17,119554.791015625,0.4975,115741.35107421875,0.53,116435.222265625,0.53,6.799967050552368,_
0,18,119246.45498046876,0.4975,118264.56611328125,0.525,119309.74526367188,0.53,6.826728582382202,_
0,19,118944.71977539062,0.4975,120221.15595703125,0.525,121788.05141601563,0.53,6.904530763626099,_
0,20,118538.27119140625,0.4975,119791.7373046875,0.525,122121.01845703126,0.53,7.156450271606445,_
0,21,118187.56435546876,0.4975,116879.570703125,0.535,121235.76513671875,0.53,6.756797552108765,_
0,22,117863.13056640625,0.4975,116472.715234375,0.535,121107.20712890624,0.53,6.823535203933716,_
0,_,117863.13056640625,0.4975,116472.715234375,0.535,121107.20712890624,0.53,_,239.37609696388245
1,0,139883.58857421874,0.535,139588.084375,0.455,137029.255078125,0.485,6.77653169631958,_
1,1,114076.99184570313,0.535,121528.4123046875,0.46,122206.8087890625,0.485,6.9236602783203125,_
1,2,101341.85327148438,0.5375,109609.69951171875,0.465,112776.4896484375,0.49,7.412199258804321,_
1,3,93696.1861328125,0.5425,103339.4791015625,0.47,108226.7138671875,0.49,6.792770862579346,_
1,4,88865.09506835937,0.555,101385.2240234375,0.47,107729.66826171875,0.5,6.77170729637146,_
1,5,85469.99951171875,0.5575,103993.8619140625,0.47,110999.4849609375,0.5,6.795666933059692,_
1,6,83043.81958007812,0.5725,118898.8533203125,0.46,125466.109765625,0.485,6.782287120819092,_
1,7,81467.51010742187,0.5725,131915.9787109375,0.46,136974.044921875,0.485,6.784255027770996,_
1,8,80458.56533203126,0.575,112659.7880859375,0.465,119430.578125,0.495,6.838184356689453,_
1,9,79757.31950683593,0.575,100715.58916015625,0.48,107676.676171875,0.5,6.788174390792847,_
1,10,79345.39155273438,0.5725,89495.5912109375,0.495,96333.41259765625,0.525,7.109941005706787,_
1,11,79153.47268066407,0.5775,79141.86215820312,0.53,84861.55085449219,0.535,6.803048372268677,_
1,12,79157.3814453125,0.58,75627.97216796875,0.55,80026.89047851562,0.56,6.853886842727661,_
1,13,79318.90947265625,0.58,72971.88315429687,0.565,76160.72135009765,0.565,6.8014867305755615,_
1,14,79497.98029785157,0.58,71632.68706054687,0.57,74178.04705810547,0.57,6.790976285934448,_
1,15,79752.1579345703,0.58,72423.39125976563,0.57,75143.96276855469,0.57,6.773281097412109,_
1,16,80038.84047851563,0.58,73783.14306640625,0.565,76914.85212402344,0.565,7.518626928329468,_
1,17,80413.07998046876,0.58,67500.028125,0.585,67974.0215057373,0.585,6.88153600692749,_
1,18,80921.16010742188,0.5775,63984.70991210938,0.605,63049.242427062985,0.605,6.776510953903198,_
1,19,81526.45712890624,0.5775,61880.91547851563,0.625,59835.208183288574,0.62,6.754092693328857,_
1,20,82174.276171875,0.5775,58743.77397460937,0.64,55672.44045915604,0.66,6.7281622886657715,_
1,21,82843.2306640625,0.5775,60567.48017578125,0.63,57380.57414331436,0.65,6.740822792053223,_
1,22,83548.91845703125,0.5775,59489.99345703125,0.635,55370.316240596774,0.67,6.784262657165527,_
1,23,84257.68461914062,0.5775,65998.30126953125,0.615,62079.95865783691,0.62,6.7597949504852295,_
1,24,85004.19995117188,0.575,69763.4826171875,0.6,66117.60149230956,0.61,6.868352651596069,_
1,25,85743.5353515625,0.5725,70643.32666015625,0.6,66839.47479248047,0.6,7.686406135559082,_
1,26,86456.49067382813,0.5725,71481.745703125,0.595,67374.91893005371,0.6,6.796097040176392,_
1,27,87153.37924804687,0.5725,73108.7337890625,0.595,69052.52924804688,0.595,6.898151397705078,_
1,28,87837.69936523438,0.575,75487.00190429688,0.585,72220.2045715332,0.59,6.768633842468262,_
1,29,88474.37197265626,0.575,75635.3951171875,0.59,71650.86470947266,0.595,6.911755800247192,_
1,30,89074.41567382813,0.5725,77030.18896484375,0.585,72873.30684814454,0.595,6.8583807945251465,_
1,_,89074.41567382813,0.5725,77030.18896484375,0.585,72873.30684814454,0.595,_,322.82074308395386
2,0,151613.63681640624,0.4575,100154.75375976562,0.59,117001.27998046875,0.495,6.835143804550171,_
2,1,124217.7298828125,0.4675,94511.62995605469,0.6,98876.8109375,0.525,6.853074550628662,_
2,2,110089.88994140625,0.475,80683.14539794922,0.605,84838.123828125,0.535,6.834094762802124,_
2,3,103465.16450195313,0.4875,75500.51849975585,0.62,79899.3783203125,0.555,6.8755316734313965,_
2,4,100640.47426757813,0.4875,74626.52002563476,0.62,77876.446484375,0.56,6.8062050342559814,_
2,5,98598.15151367188,0.4925,73966.08888549804,0.62,76268.8068359375,0.555,6.988278865814209,_
2,6,96931.2802734375,0.4925,73054.42876586915,0.625,74766.22744140626,0.555,6.751974582672119,_
2,7,95775.37680664062,0.4975,72351.33309936523,0.63,73678.4837890625,0.565,6.815144062042236,_
2,8,94879.6169921875,0.4975,72382.93867797851,0.63,73248.57802734376,0.555,6.654509782791138,_
2,9,94104.79658203125,0.5,71953.76610717774,0.63,72334.02900390625,0.555,6.942788600921631,_
2,10,93326.58793945312,0.5,70871.55961608887,0.63,70847.59755859376,0.565,6.923311233520508,_
2,11,92458.0265625,0.4975,71021.55256042481,0.63,70194.10673828125,0.565,6.90569543838501,_
2,12,91747.73706054688,0.4975,70973.63646850587,0.63,70075.72158203126,0.565,6.883112668991089,_
2,13,91130.82080078125,0.5,70619.7047302246,0.63,69284.046875,0.57,6.8388378620147705,_
2,14,90384.45493164062,0.5,70043.02570190429,0.63,68908.81123046875,0.57,6.844990253448486,_
2,15,89514.95810546874,0.505,68397.72801818847,0.64,66239.98974609375,0.585,6.814414024353027,_
2,16,88598.31416015625,0.505,65190.02649993896,0.64,62496.27607421875,0.58,6.86806583404541,_
2,17,87592.66430664062,0.5025,65759.952633667,0.64,62382.16083984375,0.585,6.897994756698608,_
2,18,86815.64255371093,0.5025,66397.4606338501,0.645,62988.27138671875,0.57,6.865418910980225,_
2,19,86573.34208984375,0.5025,64816.66501464844,0.645,61077.54541015625,0.57,7.780579566955566,_
2,20,86648.57036132812,0.5,68039.43706359863,0.635,63373.80224609375,0.57,6.809009075164795,_
2,21,87017.05676269531,0.5,65461.35918273926,0.64,61697.0455078125,0.575,6.793410301208496,_
2,22,87296.46176757812,0.5,64523.482823181155,0.64,60821.90478515625,0.575,6.927308559417725,_
2,23,87595.36965332032,0.4975,64067.31901397705,0.64,60833.45859375,0.58,6.811421871185303,_
2,24,88032.6882080078,0.4975,64600.25334320068,0.64,61453.0984375,0.575,6.791072130203247,_
2,25,88575.866015625,0.4925,63611.41739654541,0.64,60643.105078125,0.59,7.1270928382873535,_
2,26,89096.6887451172,0.4925,62376.10295066833,0.64,59800.10087890625,0.595,6.783026218414307,_
2,27,89625.07810058593,0.4925,66381.56408691406,0.63,63626.9330078125,0.575,6.914355516433716,_
2,28,90309.7356201172,0.49,65914.09042177201,0.65,67938.3109375,0.59,6.834789037704468,_
2,29,91041.98498535156,0.49,63536.76188430786,0.635,61620.82236328125,0.58,6.836233377456665,_
2,30,91675.86328125,0.49,63583.65232925415,0.635,62215.40073242188,0.58,6.7714502811431885,_
2,31,92501.41408691407,0.49,64040.86797447204,0.635,63265.70034179687,0.58,6.995086431503296,_
2,32,93324.92307128906,0.49,63553.679602432254,0.64,63794.61098632812,0.58,6.952068567276001,_
2,33,94140.68200683594,0.49,65640.03562850952,0.63,67404.22495117187,0.58,6.815570592880249,_
2,34,95042.96909179687,0.49,67252.82650756836,0.615,68237.38833007813,0.555,6.891855716705322,_
2,35,96089.14157714843,0.485,66276.11330833434,0.63,71155.2501953125,0.575,8.424152135848999,_
2,36,97311.60397949218,0.485,67786.17799987792,0.61,70038.69853515625,0.555,6.800857067108154,_
2,_,97311.60397949218,0.485,67786.17799987792,0.61,70038.69853515625,0.555,_,386.9334149360657
3,0,113095.50356445313,0.505,87350.209375,0.545,80620.88645801545,0.535,6.815061092376709,_
3,1,90464.28046875,0.535,68545.52260742188,0.56,63364.81411056519,0.6,6.779882192611694,_
3,2,83891.42758789062,0.5475,67806.28017578126,0.56,62053.09430274963,0.605,6.891849756240845,_
3,3,79851.0677734375,0.555,64834.75087890625,0.575,59703.921613502505,0.62,6.939572095870972,_
3,4,76565.47768554688,0.5625,62643.53969726562,0.585,57703.96156978607,0.63,6.802353143692017,_
3,5,73586.76511230468,0.5725,60523.10600585937,0.595,55802.92750167847,0.645,6.8322389125823975,_
3,6,71423.81665039062,0.5775,59773.736572265625,0.595,54760.06018133163,0.645,6.771570920944214,_
3,7,69825.47470703124,0.5825,58218.79672851563,0.615,53383.76556520462,0.645,6.812435865402222,_
3,8,68652.2240234375,0.5875,57697.3626953125,0.615,53356.00705823898,0.66,6.840460300445557,_
3,9,68051.66840820313,0.5975,58317.64252929688,0.62,54056.704967784885,0.655,7.073819160461426,_
3,10,67794.98637695312,0.5975,58458.76801757813,0.62,54030.50232076645,0.655,6.8829710483551025,_
3,11,67624.05632324218,0.595,58698.83740234375,0.615,54180.982847595216,0.65,6.624396085739136,_
3,12,67552.85654296874,0.595,58166.1111328125,0.63,53459.23395652771,0.655,7.088278293609619,_
3,13,67539.04243164063,0.5925,58424.03793945313,0.635,53675.84273090363,0.66,6.747065544128418,_
3,14,67550.77744140624,0.5925,57699.82231445312,0.645,52829.654411125186,0.665,6.746170520782471,_
3,15,67566.61374511718,0.5925,56798.15922851562,0.65,51464.13093481064,0.675,6.942370653152466,_
3,16,67677.22172851562,0.5925,56506.742944335936,0.65,51039.62149457932,0.675,6.856156349182129,_
3,17,67709.08215332031,0.59,55978.015869140625,0.645,50435.69616155625,0.68,6.9594573974609375,_
3,18,67785.53913574219,0.59,58167.75786132812,0.645,53118.06953468323,0.665,8.948676109313965,_
3,19,67794.04775390626,0.59,59070.17143554687,0.645,54399.683824920656,0.65,6.940714120864868,_
3,20,67758.6072265625,0.5875,57964.69104003906,0.645,53184.779315185544,0.665,7.016280174255371,_
3,21,67697.65053710938,0.5875,60649.15756835938,0.64,56430.112478256226,0.645,6.9330573081970215,_
3,22,67711.41235351562,0.5875,63031.70224609375,0.625,59944.00970239639,0.64,6.89115309715271,_
3,23,67506.93913574218,0.5925,59956.307373046875,0.64,54683.89217977524,0.65,6.890165567398071,_
3,24,67774.02712402344,0.585,63620.13857421875,0.615,59917.069114971164,0.635,6.956934928894043,_
3,25,68183.96916503906,0.585,62709.70947265625,0.625,58250.64832248688,0.64,6.972427845001221,_
3,26,68678.56357421874,0.585,62787.57973632812,0.625,57905.34302978516,0.64,7.121536731719971,_
3,27,69150.28557128906,0.5825,48874.253894042966,0.695,42694.24848041534,0.7,6.901515245437622,_
3,28,69710.78618164062,0.58,56753.08400878906,0.66,49609.526951408385,0.655,6.866731643676758,_
3,29,70311.33120117188,0.58,60494.781774902345,0.645,54194.93220701218,0.64,6.799975156784058,_
3,30,70954.51547851562,0.58,63437.52861328125,0.635,56386.111167240146,0.63,6.811640024185181,_
3,31,71661.448828125,0.5775,56374.64692993164,0.665,58267.083341312406,0.635,6.994932174682617,_
3,32,72357.5993408203,0.575,62404.052563476565,0.635,55083.68251514435,0.63,6.838411092758179,_
3,33,73077.96096191407,0.575,65017.839453125,0.62,59706.34487352371,0.63,6.845397233963013,_
3,34,73861.67106933593,0.575,65907.72646484376,0.625,59939.33516159058,0.625,6.7720372676849365,_
3,35,74380.98295898437,0.575,61347.49379882812,0.635,55206.94507789612,0.635,6.853532075881958,_
3,36,75014.32016601562,0.57,62060.63076171875,0.615,59644.305433940885,0.64,6.850970268249512,_
3,37,75547.59877929688,0.57,63326.35068359375,0.6,61843.27086744308,0.63,6.900856971740723,_
3,_,75547.59877929688,0.57,63326.35068359375,0.6,61843.27086744308,0.63,_,397.22597789764404
4,0,123709.937890625,0.515,103682.8171875,0.465,108593.5875,0.535,7.121295928955078,_
4,1,92514.13583984374,0.565,76771.94140625,0.515,85957.5876953125,0.57,6.943068981170654,_
4,2,81510.52358398438,0.5875,69401.44609375,0.545,80111.94072265625,0.58,6.931915998458862,_
4,3,77291.29296875,0.62,65514.20297851563,0.555,76803.43564453124,0.585,6.849171161651611,_
4,4,75172.811328125,0.6425,66008.5246826172,0.555,77169.8591796875,0.6,8.848605632781982,_
4,5,73993.06416015625,0.6475,75042.52104492187,0.525,85640.2240234375,0.55,6.874866485595703,_
4,6,73071.71748046875,0.65,49230.04653930664,0.65,60120.667578125,0.635,6.889178037643433,_
4,7,72405.00737304687,0.65,55007.428698730466,0.625,66967.48427734376,0.625,6.80193018913269,_
4,8,71828.53388671875,0.655,56804.9857421875,0.605,69198.05927734375,0.615,6.813415288925171,_
4,9,71324.42802734375,0.6575,57502.85197753906,0.6,70031.59946289062,0.61,7.017773389816284,_
4,10,70893.42397460938,0.6575,62208.53227539062,0.56,75368.48442382812,0.595,6.885995149612427,_
4,11,70451.75122070312,0.6575,73562.77392578125,0.525,87299.062109375,0.555,6.833782196044922,_
4,12,69736.72055664062,0.6575,107110.1802734375,0.48,114044.9060546875,0.53,6.808588266372681,_
4,13,76824.30224609375,0.6175,29614.500519561767,0.755,34862.998098564145,0.73,6.919672250747681,_
4,14,69774.72436523438,0.6525,85751.05966796874,0.51,96276.6923828125,0.545,6.928159952163696,_
4,15,69146.52578125,0.6525,67704.543359375,0.535,81284.23276367187,0.58,6.882375717163086,_
4,16,68953.24233398438,0.655,78591.4439453125,0.51,90861.80712890625,0.56,6.850673198699951,_
4,17,68975.78129882812,0.65,69453.8548828125,0.54,84301.68369140624,0.57,6.841859817504883,_
4,18,68976.72807617187,0.65,74565.1708984375,0.535,88388.93359375,0.565,6.675999641418457,_
4,19,68948.01245117188,0.65,72327.8015625,0.53,86247.696875,0.57,6.849474668502808,_
4,20,68953.0955078125,0.6475,75570.26254882812,0.525,89011.2935546875,0.57,6.804661750793457,_
4,21,69014.46674804688,0.6475,77774.69296875,0.515,90564.96962890626,0.56,6.896220922470093,_
4,22,69126.6537109375,0.645,82105.82534179688,0.51,93622.9265625,0.55,6.7515809535980225,_
4,23,69213.66689453126,0.6475,88097.2080078125,0.49,97552.50458984375,0.54,6.917200565338135,_
4,_,69213.66689453126,0.6475,88097.2080078125,0.49,97552.50458984375,0.54,_,251.11474013328552
